HID;PID;TIME_PERIOD;REF_AREA;DIARY;DDV1;DDV1A;DDV2;DDV3;DDV4;DDV5A;DDV5B;DDV5C;DDV5D;DDV5E;DDV6;DDV7;DDV8A;DDV8B;WGHT1;DATA_COLLECTION_MODE
10584;1;2020;AT;1;6;1;4;3;2022;344;936;936;1;1;2;-1;1;-1;612,3202733885880;1
10584;1;2020;AT;2;1;2;6;3;2022;611;322;311;1;1;2;-1;2;15;285,7494609146750;1
10584;2;2020;AT;1;6;1;4;3;2022;713;936;936;1;1;2;-1;1;-1;612,3202733885880;1
10584;2;2020;AT;2;1;2;6;3;2022;611;300;311;1;1;2;-1;2;15;285,7494609146750;1
10592;1;2020;AT;1;4;1;9;2;2022;821;12;311;5;2;1;4;1;-1;1033,3324270984101;1
10592;1;2020;AT;2;1;2;13;2;2022;821;12;321;4;2;1;4;1;-1;482,2217993125940;1
10592;2;2020;AT;1;4;1;9;2;2022;615;321;938;2;1;2;-1;1;-1;1033,3324270984101;1
10592;2;2020;AT;2;1;2;13;2;2022;812;12;311;4;2;2;-1;1;-1;482,2217993125940;1
10657;1;2020;AT;1;2;1;25;4;2022;21;111;111;2;1;1;1;1;-1;516,1421039409690;1
10657;1;2020;AT;2;1;2;1;5;2022;980;371;342;3;2;1;3;2;16;240,8663151724520;1
10657;2;2020;AT;1;2;1;25;4;2022;21;32;32;2;1;2;-1;1;-1;516,1421039409690;1
10657;2;2020;AT;2;1;2;1;5;2022;980;342;342;3;2;2;-1;2;16;240,8663151724520;1
10693;1;2020;AT;1;2;1;7;2;2022;11;-9;21;1;1;2;-1;1;-1;1513,4330227765699;1
10693;1;2020;AT;2;1;2;13;2;2022;900;31;31;1;1;2;-1;1;-1;706,2687439623980;1
10693;2;2020;AT;1;2;1;7;2;2022;531;361;321;3;1;2;-1;1;-1;1513,4330227765699;1
10693;2;2020;AT;2;1;2;13;2;2022;519;321;900;1;2;2;-1;1;-1;706,2687439623980;1
10724;1;2020;AT;1;6;1;29;4;2022;383;325;361;1;2;1;3;2;20;414,0490431460760;1
10724;1;2020;AT;2;1;2;1;5;2022;821;324;371;3;1;1;3;1;-1;193,2228868015020;1
10724;2;2020;AT;1;6;1;29;4;2022;383;324;938;3;1;1;3;2;10;414,0490431460760;1
10724;2;2020;AT;2;1;2;1;5;2022;383;311;381;3;1;1;6;1;-1;193,2228868015020;1
10725;1;2020;AT;1;4;1;29;6;2022;21;-8;-9;2;1;2;-1;1;-1;589,2604101902720;1
10725;1;2020;AT;2;1;2;3;7;2022;512;411;-9;2;1;2;-1;2;25;274,9881914221270;1
10725;2;2020;AT;1;4;1;29;6;2022;616;371;111;2;1;1;1;1;-1;589,2604101902720;1
10725;2;2020;AT;2;1;2;3;7;2022;21;311;-8;3;1;1;3;1;-1;274,9881914221270;1
10751;1;2020;AT;1;6;1;13;5;2022;611;111;111;3;1;1;6;1;-1;672,1817462142210;1
10751;1;2020;AT;2;1;2;15;5;2022;39;960;960;3;2;1;3;2;25;313,6848148999700;1
10751;2;2020;AT;1;6;1;13;5;2022;519;515;324;3;1;1;6;1;-1;672,1817462142210;1
10751;2;2020;AT;2;1;2;15;5;2022;39;324;324;3;1;1;3;1;-1;313,6848148999700;1
10792;1;2020;AT;1;2;1;25;4;2022;512;321;-9;3;2;2;-1;1;-1;368,8655215253130;1
10792;1;2020;AT;2;3;1;26;4;2022;361;321;361;2;2;2;-1;1;-1;368,8655215253130;1
10792;2;2020;AT;1;2;1;25;4;2022;21;729;111;3;1;1;1;1;-1;368,8655215253130;1
10792;2;2020;AT;2;3;1;26;4;2022;513;729;111;3;1;1;1;1;-1;368,8655215253130;1
